headers,moves,lichess_id,white_elo,black_elo,ECO,opening_name,event,player_color,score
"{'_tag_roster': {'Event': 'Rated Bullet game', 'Site': 'https://lichess.org/R5xvWQmB', 'Date': '2024.03.14', 'Round': '?', 'White': 'Amir_122012', 'Black': 'Apendra', 'Result': '1-0'}, '_others': {'UTCDate': '2024.03.14', 'UTCTime': '10:05:06', 'WhiteElo': '1393', 'BlackElo': '1490', 'WhiteRatingDiff': '+7', 'BlackRatingDiff': '-7', 'Variant': 'Standard', 'TimeControl': '60+0', 'ECO': 'C68', 'Opening': 'Ruy Lopez: Exchange Variation, Keres Variation', 'Termination': 'Time forfeit'}}","['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1b5', 'a7a6', 'b5c6', 'd7c6', 'b1c3', 'f8d6', 'd2d3', 'g8f6', 'f3g5', 'h7h6', 'g5f3', 'c8g4', 'h2h3', 'g4h5', 'c1d2', 'd8d7', 'g2g4', 'h5g6', 'g4g5', 'h6g5', 'f3g5', 'e8c8', 'g5f3', 'h8h3', 'h1h3', 'd7h3']",https://lichess.org/R5xvWQmB,1393.0,1490.0,C68,"Ruy Lopez: Exchange Variation, Keres Variation",Rated Bullet game,Black,0.0
"{'_tag_roster': {'Event': 'Rated Bullet game', 'Site': 'https://lichess.org/W4qIfyPj', 'Date': '2024.03.13', 'Round': '?', 'White': 'Mas_brow', 'Black': 'Apendra', 'Result': '0-1'}, '_others': {'UTCDate': '2024.03.13', 'UTCTime': '14:42:52', 'WhiteElo': '1468', 'BlackElo': '1485', 'WhiteRatingDiff': '-5', 'BlackRatingDiff': '+5', 'Variant': 'Standard', 'TimeControl': '60+0', 'ECO': 'A20', 'Opening': ""English Opening: King's English Variation"", 'Termination': 'Time forfeit'}}","['c2c4', 'e7e5', 'c4c5', 'f8c5', 'g2g3', 'g8f6', 'f1g2', 'd7d5', 'b2b3', 'e8g8', 'a2a4', 'c8e6', 'a1a2', 'b8c6', 'b1c3', 'c6b4', 'a2b2', 'b4c6', 'g1f3', 'c5b4', 'c3b5', 'a7a6', 'b5c3', 'e5e4', 'f3d4', 'c6d4', 'e2e3', 'd4c6', 'h2h4', 'h7h6']",https://lichess.org/W4qIfyPj,1468.0,1485.0,A20,English Opening: King's English Variation,Rated Bullet game,Black,1.0
"{'_tag_roster': {'Event': 'Rated Bullet game', 'Site': 'https://lichess.org/uAyyykrW', 'Date': '2024.03.13', 'Round': '?', 'White': 'Apendra', 'Black': 'Denshark', 'Result': '0-1'}, '_others': {'UTCDate': '2024.03.13', 'UTCTime': '13:52:31', 'WhiteElo': '1490', 'BlackElo': '1499', 'WhiteRatingDiff': '-5', 'BlackRatingDiff': '+6', 'Variant': 'Standard', 'TimeControl': '60+0', 'ECO': 'B01', 'Opening': 'Scandinavian Defense: Valencian Variation', 'Termination': 'Normal'}}","['e2e4', 'd7d5', 'e4d5', 'd8d5', 'b1c3', 'd5d8', 'g1f3', 'g7g6', 'd2d4', 'f8g7', 'c1e3', 'g8f6', 'f1c4', 'e8g8', 'e1g1', 'b8d7', 'e3g5', 'c7c6', 'c4b3', 'b7b5', 'a2a3', 'a7a5', 'b3a2', 'c8b7', 'c3e2', 'c6c5', 'e2g3', 'c5d4', 'f3d4', 'd8c8']",https://lichess.org/uAyyykrW,1490.0,1499.0,B01,Scandinavian Defense: Valencian Variation,Rated Bullet game,White,0.0
"{'_tag_roster': {'Event': 'Rated Bullet game', 'Site': 'https://lichess.org/vBCaaIq2', 'Date': '2024.03.13', 'Round': '?', 'White': 'Naivespin', 'Black': 'Apendra', 'Result': '0-1'}, '_others': {'UTCDate': '2024.03.13', 'UTCTime': '13:51:30', 'WhiteElo': '1549', 'BlackElo': '1484', 'WhiteRatingDiff': '-7', 'BlackRatingDiff': '+6', 'Variant': 'Standard', 'TimeControl': '60+0', 'ECO': 'C52', 'Opening': 'Italian Game: Evans Gambit, Pierce Defense', 'Termination': 'Normal'}}","['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1c4', 'f8c5', 'b2b4', 'c5b4', 'c2c3', 'b4a5', 'd2d4', 'e5d4', 'd1b3', 'd8e7', 'c1g5', 'g8f6', 'g5f6', 'e7f6', 'e1g1', 'e8g8', 'f1e1', 'c6e5', 'f3e5', 'f6e5', 'c3d4', 'e5d4', 'b1a3', 'a5e1', 'a1e1']",https://lichess.org/vBCaaIq2,1549.0,1484.0,C52,"Italian Game: Evans Gambit, Pierce Defense",Rated Bullet game,Black,1.0
"{'_tag_roster': {'Event': 'Rated Bullet game', 'Site': 'https://lichess.org/AAfUu8jz', 'Date': '2024.03.13', 'Round': '?', 'White': 'Apendra', 'Black': 'maisa011', 'Result': '1-0'}, '_others': {'UTCDate': '2024.03.13', 'UTCTime': '13:30:07', 'WhiteElo': '1477', 'BlackElo': '1514', 'WhiteRatingDiff': '+7', 'BlackRatingDiff': '-6', 'Variant': 'Standard', 'TimeControl': '60+0', 'ECO': 'B40', 'Opening': 'Sicilian Defense: Delayed Alapin Variation, with e6', 'Termination': 'Time forfeit'}}","['e2e4', 'c7c5', 'g1f3', 'e7e6', 'c2c3', 'd7d5', 'e4d5', 'e6d5', 'd2d4', 'g8f6', 'f1e2', 'f8e7', 'e1g1', 'e8g8', 'c1g5', 'b8c6', 'g5f6', 'e7f6', 'd4c5', 'f8e8', 'b2b4', 'c8g4', 'h2h3']",https://lichess.org/AAfUu8jz,1477.0,1514.0,B40,"Sicilian Defense: Delayed Alapin Variation, with e6",Rated Bullet game,White,1.0
"{'_tag_roster': {'Event': 'Rated Bullet game', 'Site': 'https://lichess.org/BZZXNaeH', 'Date': '2024.03.13', 'Round': '?', 'White': 'Apendra', 'Black': 'kuncas', 'Result': '1-0'}, '_others': {'UTCDate': '2024.03.13', 'UTCTime': '12:16:15', 'WhiteElo': '1470', 'BlackElo': '1547', 'WhiteRatingDiff': '+7', 'BlackRatingDiff': '-7', 'Variant': 'Standard', 'TimeControl': '60+0', 'ECO': 'B06', 'Opening': 'Modern Defense', 'Termination': 'Time forfeit'}}","['e2e4', 'g7g6', 'b1c3', 'g8h6', 'd2d4', 'f8g7', 'g1f3', 'f7f6', 'f1e2', 'h6f7', 'e1g1', 'd7d6', 'e2c4', 'e8g8', 'f1e1', 'e7e6', 'c1f4', 'd8e7', 'e4e5', 'a7a6', 'e5f6', 'e7f6', 'f4g5', 'f7g5', 'f3g5', 'f6f2', 'g1h1', 'd6d5', 'e1f1', 'f2f1']",https://lichess.org/BZZXNaeH,1470.0,1547.0,B06,Modern Defense,Rated Bullet game,White,1.0
"{'_tag_roster': {'Event': 'Rated Bullet game', 'Site': 'https://lichess.org/zGzfZ9ew', 'Date': '2024.03.13', 'Round': '?', 'White': 'StarAliStar', 'Black': 'Apendra', 'Result': '0-1'}, '_others': {'UTCDate': '2024.03.13', 'UTCTime': '12:14:07', 'WhiteElo': '1474', 'BlackElo': '1464', 'WhiteRatingDiff': '-6', 'BlackRatingDiff': '+6', 'Variant': 'Standard', 'TimeControl': '60+0', 'ECO': 'A80', 'Opening': 'Dutch Defense', 'Termination': 'Normal'}}","['d2d4', 'f7f5', 'c1f4', 'g8f6', 'g1f3', 'e7e6', 'e2e3', 'b7b6', 'f1d3', 'c8b7', 'c2c3', 'b8c6', 'b1d2', 'f8e7', 'd1e2', 'e8g8', 'e1c1', 'a7a5', 'f3e5', 'c6e5', 'f4e5', 'h7h6', 'h2h3', 'a5a4', 'g2g4', 'f5g4', 'h3g4', 'a4a3', 'b2b3', 'b7h1']",https://lichess.org/zGzfZ9ew,1474.0,1464.0,A80,Dutch Defense,Rated Bullet game,Black,1.0
"{'_tag_roster': {'Event': 'Rated Bullet game', 'Site': 'https://lichess.org/KTw23QRf', 'Date': '2024.03.13', 'Round': '?', 'White': 'Apendra', 'Black': 'YUSUF_400', 'Result': '0-1'}, '_others': {'UTCDate': '2024.03.13', 'UTCTime': '11:57:13', 'WhiteElo': '1471', 'BlackElo': '1380', 'WhiteRatingDiff': '-7', 'BlackRatingDiff': '+7', 'Variant': 'Standard', 'TimeControl': '60+0', 'ECO': 'C29', 'Opening': 'Vienna Game: Vienna Gambit', 'Termination': 'Time forfeit'}}","['e2e4', 'e7e5', 'b1c3', 'g8f6', 'f2f4', 'b8c6', 'f4e5', 'f6g8', 'g1f3', 'd7d6', 'e5d6', 'd8d6', 'd2d4', 'g8f6', 'e4e5', 'c6e5', 'd4e5', 'd6d1', 'c3d1', 'f6e4', 'f1d3', 'e4c5', 'e1g1', 'c8g4', 'c1e3', 'c5d3', 'c2d3', 'e8c8', 'd3d4', 'c7c5']",https://lichess.org/KTw23QRf,1471.0,1380.0,C29,Vienna Game: Vienna Gambit,Rated Bullet game,White,0.0
"{'_tag_roster': {'Event': 'Rated Bullet game', 'Site': 'https://lichess.org/tJqJQE9l', 'Date': '2024.03.13', 'Round': '?', 'White': 'Apendra', 'Black': 'SemYilmaz', 'Result': '0-1'}, '_others': {'UTCDate': '2024.03.13', 'UTCTime': '10:16:08', 'WhiteElo': '1477', 'BlackElo': '1462', 'WhiteRatingDiff': '-6', 'BlackRatingDiff': '+6', 'Variant': 'Standard', 'TimeControl': '60+0', 'ECO': 'B01', 'Opening': 'Scandinavian Defense: Valencian Variation', 'Termination': 'Normal'}}","['e2e4', 'd7d5', 'e4d5', 'd8d5', 'b1c3', 'd5d8', 'g1f3', 'g7g6', 'f1c4', 'f8g7', 'd2d4', 'g8f6', 'c1e3', 'b8c6', 'e1g1', 'e8g8', 'a2a3', 'c8f5', 'f1e1', 'f6e4', 'c3e4', 'f5e4', 'f3d2', 'e4f5', 'd2f3', 'f5e4', 'c2c3', 'e7e5', 'f3e5', 'c6e5']",https://lichess.org/tJqJQE9l,1477.0,1462.0,B01,Scandinavian Defense: Valencian Variation,Rated Bullet game,White,0.0
"{'_tag_roster': {'Event': 'Rated Bullet game', 'Site': 'https://lichess.org/KEkOpdsl', 'Date': '2024.03.11', 'Round': '?', 'White': 'skillminer', 'Black': 'Apendra', 'Result': '1-0'}, '_others': {'UTCDate': '2024.03.11', 'UTCTime': '13:09:35', 'WhiteElo': '1492', 'BlackElo': '1483', 'WhiteRatingDiff': '+19', 'BlackRatingDiff': '-6', 'Variant': 'Standard', 'TimeControl': '60+0', 'ECO': 'C54', 'Opening': ""Italian Game: Giuoco Piano, Greco's Attack"", 'Termination': 'Time forfeit'}}","['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1c4', 'f8c5', 'c2c3', 'g8f6', 'd2d4', 'e5d4', 'c3d4', 'c5b4', 'b1c3', 'e8g8', 'd4d5', 'c6e7', 'a2a3', 'b4c3', 'b2c3', 'd7d6', 'c1g5', 'e7g6', 'g5f6', 'd8f6', 'e1g1', 'f6c3', 'c4b3', 'c8g4', 'f1e1', 'g4f3']",https://lichess.org/KEkOpdsl,1492.0,1483.0,C54,"Italian Game: Giuoco Piano, Greco's Attack",Rated Bullet game,Black,0.0
