player_color,opening_base,opening_variation,count
Black,Anderssen's Opening,,1
Black,Barnes Opening,,1
Black,Bird Opening,Dutch Variation,6
Black,Bird Opening,,4
Black,Bishop's Opening,,25
Black,Bishop's Opening,Berlin Defense,1
Black,Blackmar-Diemer Gambit,von Popiel Gambit,1
Black,Blackmar-Diemer Gambit Declined,Vienna Defense,2
Black,Caro-Kann Defense,"Panov Attack, Main Line",1
Black,Center Game,Normal Variation,6
Black,Center Game,,2
Black,Center Game,Paulsen Attack Variation,2
Black,Center Game,Berger Variation,1
Black,Center Game,Halasz-McDonnell Gambit,1
Black,Center Game,von der Lasa Gambit,1
Black,Clemenz Opening,,1
Black,Creepy Crawly Formation,Classical Defense,1
Black,Danish Gambit,,6
Black,Dutch Defense,,91
Black,Dutch Defense,Queen's Knight Variation,22
Black,Dutch Defense,Normal Variation,11
Black,Dutch Defense,Raphael Variation,8
Black,Dutch Defense,Staunton Gambit,4
Black,Dutch Defense,"Leningrad Variation, Matulovic Variation",3
Black,Dutch Defense,Hopton Attack,2
Black,Dutch Defense,Rubinstein Variation,2
Black,Dutch Defense,Leningrad Variation,1
Black,Dutch Defense,Staunton Gambit Accepted,1
Black,English Opening,"King's English Variation, Reversed Closed Sicilian",9
Black,English Opening,Anglo-Dutch Defense,7
Black,English Opening,King's English Variation,4
Black,English Opening,The Whale,3
Black,English Opening,,2
Black,English Opening,"King's English Variation, Reversed Sicilian",2
Black,English Opening,"King's English Variation, Two Knights Variation",2
Black,English Opening,"King's English Variation, Two Knights Variation, Smyslov System",2
Black,English Opening,Caro-Kann Defensive System,1
Black,English Opening,"King's English Variation, Four Knights Variation, Flexible Line",1
Black,English Opening,"King's English Variation, Two Knights Variation, Keres Variation",1
Black,English Opening,Symmetrical Variation,1
Black,Englund Gambit Declined,Reversed French,2
Black,Four Knights Game,Italian Variation,9
Black,Four Knights Game,,2
Black,Four Knights Game,Halloween Gambit,1
Black,Four Knights Game,Scotch Variation Accepted,1
Black,Four Knights Game,"Spanish Variation, Classical Variation",1
Black,French Defense,Knight Variation,9
Black,French Defense,"Advance Variation, Paulsen Attack",2
Black,French Defense,Exchange Variation,2
Black,French Defense,"Exchange Variation, Monte Carlo Variation",2
Black,French Defense,,1
Black,French Defense,"Advance Variation, Euwe Variation",1
Black,French Defense,La Bourdonnais Variation,1
Black,French Defense,"Steinitz Variation, Boleslavsky Variation",1
Black,Grob Opening,,1
Black,Grob Opening,Grob Gambit,1
Black,Hungarian Opening,,15
Black,Hungarian Opening,Dutch Defense,5
Black,Hungarian Opening,Reversed Alekhine,1
Black,Italian Game,Giuoco Piano,18
Black,Italian Game,"Giuoco Pianissimo, Italian Four Knights Variation",16
Black,Italian Game,"Giuoco Pianissimo, Normal",16
Black,Italian Game,"Classical Variation, Albin Gambit",11
Black,Italian Game,"Giuoco Pianissimo, Canal Variation",11
Black,Italian Game,Anti-Fried Liver Defense,6
Black,Italian Game,"Classical Variation, Greco Gambit, Traditional Line",6
Black,Italian Game,"Classical Variation, Giuoco Pianissimo",5
Black,Italian Game,"Classical Variation, Giuoco Pianissimo, with d6",5
Black,Italian Game,Giuoco Pianissimo,5
Black,Italian Game,"Classical Variation, Center Attack",4
Black,Italian Game,"Evans Gambit, Pierce Defense",4
Black,Italian Game,"Giuoco Piano, Greco's Attack",4
Black,Italian Game,Classical Variation,3
Black,Italian Game,Jerome Gambit,3
Black,Italian Game,"Scotch Gambit, Walbrodt-Baird Gambit",3
Black,Italian Game,"Classical Variation, La Bourdonnais Variation",2
Black,Italian Game,Deutz Gambit,2
Black,Italian Game,Evans Gambit Declined,2
Black,Italian Game,"Evans Gambit, Anderssen Defense",2
Black,Italian Game,"Evans Gambit, Dufresne Defense",2
Black,Italian Game,"Evans Gambit, Main Line",2
