player_color,opening_base,opening_variation,draw,loss,win,total_games,win_rate
Black,Anderssen's Opening,,0,1,0,1,0.0
Black,Barnes Opening,,0,1,0,1,0.0
Black,Bird Opening,Dutch Variation,0,3,3,6,50.0
Black,Bird Opening,,1,1,2,4,50.0
Black,Bishop's Opening,,0,15,10,25,40.0
Black,Bishop's Opening,Berlin Defense,1,0,0,1,0.0
Black,Blackmar-Diemer Gambit,von Popiel Gambit,0,1,0,1,0.0
Black,Blackmar-Diemer Gambit Declined,Vienna Defense,0,1,1,2,50.0
Black,Caro-Kann Defense,"Panov Attack, Main Line",0,0,1,1,100.0
Black,Center Game,Normal Variation,1,0,5,6,83.33
Black,Center Game,,0,1,1,2,50.0
Black,Center Game,Paulsen Attack Variation,0,1,1,2,50.0
Black,Center Game,Berger Variation,0,1,0,1,0.0
Black,Center Game,Halasz-McDonnell Gambit,0,1,0,1,0.0
Black,Center Game,von der Lasa Gambit,0,0,1,1,100.0
Black,Clemenz Opening,,0,1,0,1,0.0
Black,Creepy Crawly Formation,Classical Defense,0,0,1,1,100.0
Black,Danish Gambit,,0,1,5,6,83.33
Black,Dutch Defense,,0,37,54,91,59.34
Black,Dutch Defense,Queen's Knight Variation,1,8,13,22,59.09
Black,Dutch Defense,Normal Variation,0,6,5,11,45.45
Black,Dutch Defense,Raphael Variation,1,4,3,8,37.5
Black,Dutch Defense,Staunton Gambit,0,3,1,4,25.0
Black,Dutch Defense,"Leningrad Variation, Matulovic Variation",0,2,1,3,33.33
Black,Dutch Defense,Hopton Attack,0,0,2,2,100.0
Black,Dutch Defense,Rubinstein Variation,0,0,2,2,100.0
Black,Dutch Defense,Leningrad Variation,0,0,1,1,100.0
Black,Dutch Defense,Staunton Gambit Accepted,0,0,1,1,100.0
Black,English Opening,"King's English Variation, Reversed Closed Sicilian",1,5,3,9,33.33
Black,English Opening,Anglo-Dutch Defense,0,4,3,7,42.86
Black,English Opening,King's English Variation,1,1,2,4,50.0
Black,English Opening,The Whale,0,2,1,3,33.33
Black,English Opening,,1,0,1,2,50.0
Black,English Opening,"King's English Variation, Reversed Sicilian",0,1,1,2,50.0
Black,English Opening,"King's English Variation, Two Knights Variation",0,1,1,2,50.0
Black,English Opening,"King's English Variation, Two Knights Variation, Smyslov System",0,0,2,2,100.0
Black,English Opening,Caro-Kann Defensive System,0,0,1,1,100.0
Black,English Opening,"King's English Variation, Four Knights Variation, Flexible Line",0,0,1,1,100.0
Black,English Opening,"King's English Variation, Two Knights Variation, Keres Variation",0,0,1,1,100.0
Black,English Opening,Symmetrical Variation,0,1,0,1,0.0
Black,Englund Gambit Declined,Reversed French,0,1,1,2,50.0
Black,Four Knights Game,Italian Variation,0,4,5,9,55.56
Black,Four Knights Game,,0,2,0,2,0.0
Black,Four Knights Game,Halloween Gambit,0,0,1,1,100.0
Black,Four Knights Game,Scotch Variation Accepted,0,1,0,1,0.0
Black,Four Knights Game,"Spanish Variation, Classical Variation",0,0,1,1,100.0
Black,French Defense,Knight Variation,2,1,6,9,66.67
Black,French Defense,"Advance Variation, Paulsen Attack",0,1,1,2,50.0
Black,French Defense,Exchange Variation,1,1,0,2,0.0
Black,French Defense,"Exchange Variation, Monte Carlo Variation",0,1,1,2,50.0
Black,French Defense,,0,1,0,1,0.0
Black,French Defense,"Advance Variation, Euwe Variation",0,0,1,1,100.0
Black,French Defense,La Bourdonnais Variation,0,1,0,1,0.0
Black,French Defense,"Steinitz Variation, Boleslavsky Variation",0,1,0,1,0.0
