player_color,opening_base,opening_variation,total_games,win,win_rate,average_accuracy
Black,Anderssen's Opening,,1,0,0.0,52.5
Black,Barnes Opening,,1,0,0.0,
Black,Bird Opening,Dutch Variation,6,3,50.0,53.333333333333336
Black,Bird Opening,,4,2,50.0,60.416666666666664
Black,Bishop's Opening,,25,10,40.0,60.06944444444444
Black,Bishop's Opening,Berlin Defense,1,0,0.0,
Black,Blackmar-Diemer Gambit,von Popiel Gambit,1,0,0.0,
Black,Blackmar-Diemer Gambit Declined,Vienna Defense,2,1,50.0,
Black,Caro-Kann Defense,"Panov Attack, Main Line",1,1,100.0,
Black,Center Game,Normal Variation,6,5,83.33,54.166666666666664
Black,Center Game,,2,1,50.0,54.375
Black,Center Game,Paulsen Attack Variation,2,1,50.0,
Black,Center Game,Berger Variation,1,0,0.0,62.5
Black,Center Game,Halasz-McDonnell Gambit,1,0,0.0,33.75
Black,Center Game,von der Lasa Gambit,1,1,100.0,37.5
Black,Clemenz Opening,,1,0,0.0,
Black,Creepy Crawly Formation,Classical Defense,1,1,100.0,
Black,Danish Gambit,,6,5,83.33,52.083333333333336
Black,Dutch Defense,,91,54,59.34,60.01602564102564
Black,Dutch Defense,Queen's Knight Variation,22,13,59.09,59.875
Black,Dutch Defense,Normal Variation,11,5,45.45,56.666666666666664
Black,Dutch Defense,Raphael Variation,8,3,37.5,45.714285714285715
Black,Dutch Defense,Staunton Gambit,4,1,25.0,67.8125
Black,Dutch Defense,"Leningrad Variation, Matulovic Variation",3,1,33.33,64.375
Black,Dutch Defense,Hopton Attack,2,2,100.0,58.125
Black,Dutch Defense,Rubinstein Variation,2,2,100.0,68.75
Black,Dutch Defense,Leningrad Variation,1,1,100.0,63.75
Black,Dutch Defense,Staunton Gambit Accepted,1,1,100.0,78.75
Black,English Opening,"King's English Variation, Reversed Closed Sicilian",9,3,33.33,56.5625
Black,English Opening,Anglo-Dutch Defense,7,3,42.86,60.357142857142854
Black,English Opening,King's English Variation,4,2,50.0,48.75
Black,English Opening,The Whale,3,1,33.33,59.375
Black,English Opening,,2,1,50.0,
Black,English Opening,"King's English Variation, Reversed Sicilian",2,1,50.0,65.0
Black,English Opening,"King's English Variation, Two Knights Variation",2,1,50.0,62.5
Black,English Opening,"King's English Variation, Two Knights Variation, Smyslov System",2,2,100.0,78.75
Black,English Opening,Caro-Kann Defensive System,1,1,100.0,
Black,English Opening,"King's English Variation, Four Knights Variation, Flexible Line",1,1,100.0,
Black,English Opening,"King's English Variation, Two Knights Variation, Keres Variation",1,1,100.0,65.0
Black,English Opening,Symmetrical Variation,1,0,0.0,
Black,Englund Gambit Declined,Reversed French,2,1,50.0,66.875
Black,Four Knights Game,Italian Variation,9,5,55.56,78.33333333333333
Black,Four Knights Game,,2,0,0.0,
Black,Four Knights Game,Halloween Gambit,1,1,100.0,
Black,Four Knights Game,Scotch Variation Accepted,1,0,0.0,
Black,Four Knights Game,"Spanish Variation, Classical Variation",1,1,100.0,
Black,French Defense,Knight Variation,9,6,66.67,
Black,French Defense,"Advance Variation, Paulsen Attack",2,1,50.0,
Black,French Defense,Exchange Variation,2,0,0.0,
Black,French Defense,"Exchange Variation, Monte Carlo Variation",2,1,50.0,73.75
Black,French Defense,,1,0,0.0,
Black,French Defense,"Advance Variation, Euwe Variation",1,1,100.0,
Black,French Defense,La Bourdonnais Variation,1,0,0.0,
Black,French Defense,"Steinitz Variation, Boleslavsky Variation",1,0,0.0,
Black,Grob Opening,,1,0,0.0,36.25
Black,Grob Opening,Grob Gambit,1,0,0.0,
Black,Hungarian Opening,,15,6,40.0,44.44444444444444
Black,Hungarian Opening,Dutch Defense,5,3,60.0,62.5
Black,Hungarian Opening,Reversed Alekhine,1,1,100.0,
Black,Italian Game,Giuoco Piano,18,13,72.22,64.54545454545455
Black,Italian Game,"Giuoco Pianissimo, Italian Four Knights Variation",16,10,62.5,80.56818181818181
Black,Italian Game,"Giuoco Pianissimo, Normal",16,8,50.0,80.75
Black,Italian Game,"Classical Variation, Albin Gambit",11,5,45.45,69.375
Black,Italian Game,"Giuoco Pianissimo, Canal Variation",11,6,54.55,78.57142857142857
Black,Italian Game,Anti-Fried Liver Defense,6,1,16.67,
Black,Italian Game,"Classical Variation, Greco Gambit, Traditional Line",6,2,33.33,79.25
Black,Italian Game,"Classical Variation, Giuoco Pianissimo",5,2,40.0,77.08333333333333
Black,Italian Game,"Classical Variation, Giuoco Pianissimo, with d6",5,3,60.0,79.6875
Black,Italian Game,Giuoco Pianissimo,5,2,40.0,77.08333333333333
Black,Italian Game,"Classical Variation, Center Attack",4,0,0.0,50.625
Black,Italian Game,"Evans Gambit, Pierce Defense",4,3,75.0,71.875
Black,Italian Game,"Giuoco Piano, Greco's Attack",4,2,50.0,70.625
Black,Italian Game,Classical Variation,3,1,33.33,52.5
Black,Italian Game,Jerome Gambit,3,0,0.0,45.625
Black,Italian Game,"Scotch Gambit, Walbrodt-Baird Gambit",3,3,100.0,65.0
Black,Italian Game,"Classical Variation, La Bourdonnais Variation",2,0,0.0,80.0
Black,Italian Game,Deutz Gambit,2,0,0.0,65.0
Black,Italian Game,Evans Gambit Declined,2,2,100.0,
Black,Italian Game,"Evans Gambit, Anderssen Defense",2,2,100.0,73.75
Black,Italian Game,"Evans Gambit, Dufresne Defense",2,0,0.0,61.25
Black,Italian Game,"Evans Gambit, Main Line",2,2,100.0,66.25
Black,Italian Game,,1,0,0.0,
Black,Italian Game,"Classical Variation, Giuoco Pianissimo, with h6",1,0,0.0,72.5
Black,Italian Game,"Classical Variation, Greco Gambit",1,0,0.0,91.25
Black,Italian Game,Evans Gambit,1,1,100.0,78.75
Black,Italian Game,"Evans Gambit, Compromised Defense",1,0,0.0,
Black,Italian Game,"Evans Gambit, Slow Variation",1,1,100.0,78.75
Black,Italian Game,Rosentreter Gambit,1,1,100.0,43.75
Black,Italian Game,"Two Knights Defense, Fried Liver Attack",1,0,0.0,
Black,Italian Game,"Two Knights Defense, Knight Attack, Normal Variation",1,1,100.0,
Black,Italian Game,"Two Knights Defense, Max Lange Attack, Krause Variation",1,0,0.0,
Black,Italian Game,"Two Knights Defense, Perreux Variation",1,0,0.0,
Black,King's Gambit Accepted,MacLeod Defense,18,7,38.89,37.875
Black,King's Gambit Accepted,Schallopp Defense,3,0,0.0,
Black,King's Gambit Accepted,Rosentreter Gambit,2,2,100.0,36.875
Black,King's Gambit Accepted,Bishop's Gambit,1,1,100.0,
Black,King's Gambit Accepted,Blachly Gambit,1,0,0.0,41.25
Black,King's Gambit Accepted,Fischer Defense,1,1,100.0,55.0
Black,King's Gambit Accepted,Polerio Gambit,1,1,100.0,
Black,King's Gambit Declined,Queen's Knight Defense,5,3,60.0,45.0
Black,King's Indian Attack,,1,0,0.0,61.25
Black,King's Knight Opening,Normal Variation,6,5,83.33,65.9375
Black,King's Knight Opening,Konstantinopolsky,2,1,50.0,66.25
Black,King's Pawn Game,Leonardis Variation,21,9,42.86,66.75
Black,King's Pawn Game,Napoleon Attack,4,2,50.0,52.5
Black,King's Pawn Game,King's Head Opening,3,0,0.0,26.25
Black,King's Pawn Game,MacLeod Attack,3,1,33.33,41.25
Black,King's Pawn Game,Wayward Queen Attack,3,1,33.33,
Black,King's Pawn Game,Tayler Opening,2,1,50.0,70.0
Black,King's Pawn Game,Alapin Opening,1,0,0.0,53.75
Black,King's Pawn Game,Mengarini's Opening,1,0,0.0,70.0
Black,King's Pawn Game,"Wayward Queen Attack, Kiddie Countergambit",1,0,0.0,
Black,Kádas Opening,,1,1,100.0,16.25
Black,Mieses Opening,Reversed Rat,7,4,57.14,45.3125
Black,Mieses Opening,,5,2,40.0,58.333333333333336
Black,Modern Defense,Randspringer Variation,2,1,50.0,60.625
Black,Nimzo-Larsen Attack,Modern Variation,11,4,36.36,55.17857142857143
